Week 1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Min,Max,Nbr,Nbr,
,,,,,,,,,,,,Class,Class,Seats,Seats,
Su,M,T,W,Th,F,Sa,Class #,Class Name,Period,Room,Instructor,Size,Size,Taken,Open,
 ,M,T,W,H, , ,CHSM79,"Cycling (2026 version), Multisport (2026 version)",Block 3,Excursions,,,12,8,4,
 ,M,T,W,H, , ,CHSM71,Electronics (2025 version),Block 3,Home Improvement,,,15,15,0,
 ,M,T,W,H, , ,CHSM44,Entrepreneurship (2014 version) / Salesmanship (2023 version),Block 4,Trail to Eagle,,,15,15,0,
 ,M,T,W,H, , ,CHSM24,Environmental Science (2023 version),Block 1,Nature,,,15,11,4,
 ,M,T,W,H, , ,CHSM24,Environmental Science (2023 version),Block 3,Nature,,,15,10,5,
 ,M,T,W,H, , ,CHSM24,Environmental Science (2023 version),Block 5,Nature,,,15,10,5,
 ,M,T,W,H, , ,CHSM80,Exploration (2026 version),Block 2,Scoutcraft,,,15,7,8,
 ,M,T,W,H, , ,CHSM80,Exploration (2026 version),Block 4,Scoutcraft,,,15,10,5,
 ,M,T,W,H, , ,CHSM72,Fire Safety (2025 version),Block 6,Foxfire,,,15,17,-2,
 ,M,T,W,H, , ,CHSM27,First Aid (2024 version),Block 1,Aquatics,,,12,10,2,
 ,M,T,W,H, , ,CHSM27,First Aid (2024 version),Block 2,Aquatics,,,12,3,9,
 ,M,T,W,H, , ,CHSM27,First Aid (2024 version),Block 4,Aquatics,,,12,9,3,
 ,M,T,W,H, , ,CHSM27,First Aid (2024 version),Block 5,Aquatics,,,12,3,9,
 ,M,T,W,H, , ,CHSM81,Forestry (2026 version),Block 1,Nature,,,15,2,13,
 ,M,T,W,H, , ,CHSM81,Forestry (2026 version),Block 3,Nature,,,15,11,4,
 ,M,T,W,H, , ,CHSM83,Game Design and Chess - Afternoon,Block 4,Scoutcraft,,,15,4,11,
 ,M,T,W,H, , ,CHSM82,Game Design and Chess - Morning,Block 2,Scoutcraft,,,15,11,4,
 ,M,T,W,H, , ,CHSM31,Geocaching (2019 version),Block 1,Excursions,,,15,14,1,
 ,M,T,W,H, , ,CHSM31,Geocaching (2019 version),Block 2,Excursions,,,15,15,0,
 ,M,T,W,H, , ,CHSM31,Geocaching (2019 version),Block 3,Excursions,,,15,10,5,
 ,M,T,W,H, , ,CHSM93,Geology (2026 version) & Soil and Water Conservation (2019 version),Block 2,Nature,,,15,5,10,
 ,M,T,W,H, , ,CHSM93,Geology (2026 version) & Soil and Water Conservation (2019 version),Block 5,Nature,,,15,9,6,
 ,M,T,W,H, , ,CHSA1,Introduction to Outdoor Leader Skills,Block 1,Trail to Eagle,,,30,7,23,
 ,M,T,W,H, , ,CHSM84,Kayaking (2020 version),Block 1,Aquatics,,,10,5,5,
 ,M,T,W,H, , ,CHSM86,Lifesaving - Afternoon,Block 4,Aquatics,,,10,6,4,
 ,M,T,W,H, , ,CHSM85,Lifesaving - Morning,Block 2,Aquatics,,,10,,10,
 ,M,T,W,H, , ,CHSM87,Mammal Study/Fish and Wildlife management,Block 2,Nature,,,15,11,4,
 ,M,T,W,H, , ,CHSM87,Mammal Study/Fish and Wildlife management,Block 6,Nature,,,15,14,1,
 ,M,T,W,H, , ,CHSM36,Metalwork (2008 version),Block 1,Foxfire,,,12,12,0,
